dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.462257,0.680616,4.007265,1.610652,-2.125852,-4.985383,5.402206
0.020000,4.482473,0.656689,4.038589,1.566197,-2.222756,-4.845186,5.425647
0.020000,4.502625,0.633932,4.068987,1.519884,-2.315620,-4.643224,5.448742
0.020000,4.522640,0.612347,4.098423,1.471830,-2.402698,-4.353890,5.471398
0.020000,4.542442,0.591928,4.126867,1.422164,-2.483324,-4.031304,5.493531
0.020000,4.561956,0.572665,4.154287,1.371028,-2.556800,-3.673807,5.515063
0.020000,4.581113,0.554541,4.180659,1.318590,-2.621894,-3.254692,5.535925
0.020000,4.599844,0.537534,4.205959,1.265010,-2.679016,-2.856074,5.556056
0.020000,4.618085,0.521617,4.230168,1.210450,-2.727987,-2.448573,5.575404
0.020000,4.635776,0.506761,4.253269,1.155046,-2.770202,-2.110747,5.593926
0.020000,4.652861,0.492933,4.275249,1.098984,-2.803087,-1.644234,5.611586
0.020000,4.669289,0.480098,4.296097,1.042398,-2.829299,-1.310615,5.628356
0.020000,4.685014,0.468220,4.315804,0.985356,-2.852112,-1.140668,5.644213
0.020000,4.699996,0.457262,4.334365,0.928073,-2.864140,-0.601362,5.659143
0.020000,4.714197,0.447187,4.351777,0.870569,-2.875196,-0.552806,5.673135
0.020000,4.727584,0.437959,4.368036,0.812968,-2.880078,-0.244103,5.686183
0.020000,4.740128,0.429543,4.383142,0.755284,-2.884204,-0.206290,5.698284
0.020000,4.751804,0.421904,4.397095,0.697650,-2.881658,0.127270,5.709440
0.020000,4.762591,0.415011,4.409896,0.640050,-2.880026,0.081630,5.719653
0.020000,4.772469,0.408833,4.421547,0.582571,-2.873971,0.302720,5.728928
0.020000,4.781422,0.403343,4.432050,0.525127,-2.872186,0.089267,5.737270
0.020000,4.789438,0.398514,4.441407,0.467873,-2.862706,0.474001,5.744687
0.020000,4.796503,0.394324,4.449622,0.410731,-2.857065,0.282032,5.751184
0.020000,4.802610,0.390753,4.456696,0.353715,-2.850821,0.312232,5.756769
0.020000,4.807749,0.387782,4.462632,0.296796,-2.845930,0.244544,5.761447
0.020000,4.811915,0.385398,4.467432,0.239994,-2.840133,0.289826,5.765224
0.020000,4.815103,0.383587,4.471098,0.183316,-2.833877,0.312816,5.768106
0.020000,4.817308,0.382342,4.473631,0.126619,-2.834856,-0.048950,5.770095
0.020000,4.818530,0.381655,4.475032,0.070095,-2.826219,0.431821,5.771195
0.020000,4.818953,0.381417,4.475518,0.024289,-2.290270,26.797484,5.771576
0.020000,4.819012,0.381384,4.475586,0.003381,-1.045394,62.243773,5.771629
0.020000,4.819012,0.381384,4.475586,0.000000,-0.169070,43.816222,5.771629
